ID,AgeGroup,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive_Fraction,SS_Fraction,Alcohol,Caffeine,Cannabis,Cocaine
1028,45 - 54,Male,Doctorate degree,USA,White,37,42,49,37,42,13.63,13.21,Used,Used,Used, Never Used
1029,35 - 44,Female,University degree,USA,Asian,42,42,43,43,46,7.85,11.14,Used,Used,Used,Used
1030,18 - 24,Female,Masters degree,USA,White,32,45,50,47,50,18.83,5.46,Used,Used,Used, Never Used
1031,18 - 24,Female,University degree,UK,White,41,33,40,36,39,18.83,13.21,Used,Used,Used,Used
1032,18 - 24,Male,Some college or university,Australia,White,29,42,50,50,42,13.63,11.19,Used,Used,Used, Never Used
1033,25 - 34,Male,Some college or university,UK,White,38,30,45,36,31,7.85,13.21,Used,Used,Used,Used
1034,18 - 24,Male,Some college or university,USA,White,38,35,47,39,40,13.63,13.21,Used,Used,Used,Used
1035,18 - 24,Female,Some college or university,UK,White,48,36,49,39,34,11.46,5.46,Used,Used,Used,Used
1036,18 - 24,Male,Professional certificate/ diploma,UK,White,41,43,57,43,38,11.46,11.19,Used,Used,Used,Used
1037,18 - 24,Female,Some college or university,USA,White,41,45,52,42,40,7.85,11.14,Used,Used,Used,Used
1038,25 - 34,Male,Some college or university,USA,White,19,43,50,47,47,14.64,8.97,Used,Used,Used, Never Used
1039,35 - 44,Female,Masters degree,USA,White,48,29,46,58,36,18.83,3.77,Used,Used,Used, Never Used
1040,18 - 24,Female,Some college or university,USA,White,38,34,51,56,49,11.46,11.14,Used,Used,Used, Never Used
1041,18 - 24,Male,Some college or university,USA,White,43,39,50,38,45,16.29,11.62,Used,Used,Used,Used
1042,35 - 44,Female,Masters degree,UK,White,42,39,32,42,34,10.34,13.21,Used,Used,Used,Used
1043,35 - 44,Male,University degree,UK,White,38,24,31,34,31,5.52,11.19,Used,Used, Never Used, Never Used
1044,25 - 34,Male,Some college or university,Other,White,46,36,47,49,38,10.34,11.83,Used,Used,Used,Used
1045,25 - 34,Female,Masters degree,UK,White,45,37,36,48,37,14.64,11.19,Used,Used,Used,Used
1046,18 - 24,Male,Some college or university,UK,White,43,48,55,49,35,7.85,11.14,Used,Used,Used,Used
1047,25 - 34,Female,Masters degree,USA,White,49,48,57,26,32,7.85,11.14,Used,Used,Used,Used
1048,18 - 24,Male,Some college or university,USA,White,48,31,49,43,44,14.64,4.62,Used,Used,Used,Used
1049,18 - 24,Male,Masters degree,UK,White,23,55,49,38,46,10.34,5.46,Used,Used,Used,Used
1050,18 - 24,Male,Professional certificate/ diploma,UK,White,25,44,46,45,38,18.83,11.19,Used,Used,Used, Never Used
1051,18 - 24,Female,Some college or university,USA,White,46,43,55,53,37,10.34,11.19,Used,Used,Used,Used
1052,25 - 34,Male,Doctorate degree,Other,White,22,39,51,30,44,13.63,11.14,Used,Used,Used,Used
1053,18 - 24,Male,Some college or university,USA,White,29,37,39,41,40,18.83,11.83,Used,Used,Used, Never Used
1054,18 - 24,Male,Left school at 18 years,Canada ,White,48,36,35,30,26,7.85,5.46,Used,Used,Used,Used
1055,18 - 24,Female,Some college or university,USA,White,40,36,49,41,39,18.83,11.83,Used,Used,Used,Used
1056,25 - 34,Male,Left school at 16 years,UK,White,28,48,56,39,46,13.63,13.21,Used,Used,Used,Used
1057,25 - 34,Female,Some college or university,USA,White,38,39,51,47,51,14.64,7,Used,Used,Used,Used
1058,35 - 44,Female,Left school at 18 years,USA,White,39,31,38,31,31,13.63,13.21,Used,Used,Used,Used
1059,18 - 24,Male,University degree,USA,White,43,32,37,40,39,11.46,13.21,Used,Used,Used, Never Used
1060,18 - 24,Male,Some college or university,USA,White,30,39,51,49,40,16.29,13.21,Used,Used,Used, Never Used
1061,45 - 54,Female,Masters degree,Other,White,30,40,56,47,48,14.64,11.19,Used,Used,Used,Used
1062,18 - 24,Female,Left school at 18 years,USA,Other,33,44,36,44,47,7.85,11.62,Used,Used, Never Used, Never Used
1063,18 - 24,Female,University degree,USA,1.90725,48,52,56,42,38,7.85,11.14,Used,Used,Used, Never Used
1064,25 - 34,Male,Some college or university,USA,White,21,39,52,33,45,18.83,11.62,Used,Used,Used,Used
1065,25 - 34,Male,Masters degree,Other,Other,29,44,56,47,46,18.83,11.14,Used,Used,Used,Used
1066,18 - 24,Male,Some college or university,USA,White,13,43,54,50,33,10.34,11.19,Used,Used,Used, Never Used
1067,35 - 44,Female,Left school at 17 years,Canada ,White,48,35,50,45,52,14.64,4.62,Used,Used,Used, Never Used
1068,35 - 44,Male,University degree,Canada ,White,30,35,29,41,40,1.06,7,Used,Used, Never Used, Never Used
1069,18 - 24,Male,Left school at 18 years,UK,White,21,46,46,43,35,10.34,11.62,Used,Used,Used, Never Used
1070,25 - 34,Female,Doctorate degree,UK,White,27,40,53,55,54,14.64,11.83,Used,Used,Used, Never Used
1071,25 - 34,Female,Masters degree,Other,Mixed-White/Black,35,30,43,42,50,18.83,7,Used,Used,Used, Never Used
1072,18 - 24,Male,Masters degree,UK,White,40,40,48,39,43,10.34,11.62,Used,Used,Used, Never Used
1073,18 - 24,Male,Some college or university,Ireland,White,31,37,53,44,31,18.83,11.19,Used,Used,Used,Used
1074,18 - 24,Female,Masters degree,UK,White,51,29,45,45,39,16.29,4.62,Used,Used, Never Used, Never Used
1075,35 - 44,Female,Doctorate degree,UK,White,29,42,46,41,51,14.64,4.62,Used,Used, Never Used, Never Used
1076,35 - 44,Male,Left school at 18 years,UK,White,39,35,43,40,41,13.63,11.19,Used,Used,Used, Never Used
1077,18 - 24,Male,Left school at 17 years,UK,White,27,36,51,51,40,16.29,11.83,Used,Used,Used, Never Used
1078,35 - 44,Female,Professional certificate/ diploma,Canada ,White,40,40,39,44,41,14.64,7,Used,Used,Used, Never Used
1079,25 - 34,Female,University degree,USA,White,53,26,57,37,44,13.63,5.46,Used,Used,Used, Never Used
1080,45 - 54,Male,Professional certificate/ diploma,UK,White,22,46,44,40,44,18.83,4.62,Used,Used, Never Used, Never Used
1081,35 - 44,Female,Professional certificate/ diploma,UK,White,41,30,36,44,33,14.64,7,Used,Used,Used, Never Used
1082,25 - 34,Female,Masters degree,UK,Other,39,51,45,45,46,11.46,11.19,Used,Used, Never Used, Never Used
1083,18 - 24,Female,Masters degree,UK,White,25,50,48,50,50,18.83,11.83,Used,Used, Never Used, Never Used
1084,18 - 24,Male,Masters degree,UK,White,33,43,44,45,38,18.83,11.83,Used,Used,Used, Never Used
1085,18 - 24,Female,Masters degree,UK,White,42,47,40,40,32,16.29,8.97,Used,Used, Never Used,Used
1086,18 - 24,Female,University degree,UK,White,35,39,49,45,45,14.64,11.83,Used,Used,Used, Never Used
1087,18 - 24,Female,Masters degree,UK,White,33,43,52,42,53,11.46,13.21,Used,Used, Never Used, Never Used
1088,35 - 44,Male,Professional certificate/ diploma,Canada ,White,34,39,50,46,46,16.29,13.21,Used,Used,Used,Used
1089,18 - 24,Female,Masters degree,Other,White,35,46,58,41,44,14.64,11.19,Used,Used, Never Used, Never Used
1090,18 - 24,Female,Masters degree,UK,White,41,43,46,41,44,13.63,11.19,Used,Used,Used, Never Used
1091,25 - 34,Female,Masters degree,USA,White,31,39,48,47,48,13.63,8.97,Used,Used, Never Used, Never Used
1092,25 - 34,Female,University degree,UK,White,26,49,47,50,40,14.64,11.19,Used,Used,Used,Used
1093,18 - 24,Female,Masters degree,UK,White,42,49,45,57,38,7.85,13.21,Used,Used, Never Used, Never Used
1094,45 - 54,Female,Left school at 16 years,UK,White,31,44,38,50,43,13.63,11.19,Used,Used,Used,Used
1095,18 - 24,Male,University degree,Australia,White,21,34,42,35,32,13.63,11.19,Used,Used,Used,Used
1096,25 - 34,Female,University degree,Australia,White,23,51,40,39,46,10.34,13.21,Used,Used,Used,Used
1097,35 - 44,Male,Masters degree,UK,Asian,31,46,47,43,48,10.34,11.83,Used,Used, Never Used, Never Used
1098,25 - 34,Male,Masters degree,UK,White,47,32,40,43,43,18.83,3.77,Used,Used,Used, Never Used
1099,18 - 24,Male,Left school at 18 years,UK,White,30,35,56,54,33,18.83,11.19,Used,Used,Used, Never Used
1100,25 - 34,Male,Some college or university,USA,White,27,40,51,44,37,10.34,11.62,Used,Used,Used,Used
1101,18 - 24,Female,Some college or university,USA,White,36,37,46,37,37,14.64,11.83,Used,Used,Used, Never Used
1102,18 - 24,Female,Masters degree,UK,White,24,48,48,46,46,18.83,13.21,Used,Used,Used,Used
1103,18 - 24,Male,Some college or university,Other,White,30,43,45,45,28,13.63,11.19,Used,Used,Used, Never Used
1104,18 - 24,Female,University degree,USA,White,39,39,42,41,50,16.29,11.19,Used,Used,Used,Used
1105,18 - 24,Female,Masters degree,Other,White,28,39,45,40,39,18.83,11.14,Used,Used,Used,Used
1106,18 - 24,Female,Left school at 18 years,USA,White,26,42,57,37,28,13.63,11.19,Used,Used,Used, Never Used
1107,25 - 34,Male,Some college or university,Other,White,25,32,51,35,26,14.64,11.62,Used,Used,Used,Used
1108,25 - 34,Female,Doctorate degree,UK,White,34,38,43,56,52,14.64,11.62,Used,Used,Used, Never Used
1109,25 - 34,Female,Some college or university,Other,White,54,38,49,35,34,13.63,11.19,Used,Used,Used,Used
1110,18 - 24,Male,University degree,UK,White,47,47,53,42,38,5.52,5.46,Used,Used,Used,Used
1111,18 - 24,Male,Some college or university,UK,White,27,51,55,51,40,13.63,13.21,Used,Used,Used,Used
1112,45 - 54,Male,Some college or university,USA,White,57,29,33,44,29,10.34,11.19,Used,Used,Used,Used
1113,18 - 24,Female,Some college or university,USA,White,38,39,44,56,51,14.64,7,Used,Used,Used, Never Used
1114,45 - 54,Male,Doctorate degree,USA,White,40,37,50,45,32,7.85,11.62,Used,Used,Used,Used
1115,18 - 24,Male,Left school at 18 years,USA,White,27,31,41,36,46,16.29,11.19,Used,Used,Used,Used
1116,18 - 24,Male,Some college or university,USA,White,12,43,46,51,54,18.83,11.19,Used,Used,Used, Never Used
1117,45 - 54,Male,Left school at 16 years,UK,White,41,36,49,26,40,10.34,11.83,Used,Used,Used,Used
1118,18 - 24,Male,Some college or university,USA,Other,45,40,54,42,31,7.85,13.21,Used,Used,Used, Never Used
1119,18 - 24,Male,Some college or university,USA,White,51,31,45,37,37,16.29,11.83,Used,Used,Used, Never Used
1120,25 - 34,Female,University degree,USA,White,21,55,60,50,40,11.46,5.46,Used,Used,Used,Used
1121,18 - 24,Male,Some college or university,USA,White,46,37,46,31,34,10.34,11.19,Used,Used,Used, Never Used
1122,25 - 34,Male,University degree,UK,White,26,48,49,46,47,13.63,11.83,Used,Used,Used,Used
1123,25 - 34,Male,Some college or university,USA,White,32,21,37,38,40,13.63,11.19,Used,Used,Used,Used
1124,18 - 24,Male,Left school at 16 years,Canada ,White,35,26,56,43,39,16.29,11.19,Used,Used,Used,Used
1125,25 - 34,Male,Professional certificate/ diploma,UK,White,43,33,38,43,32,11.46,11.19,Used,Used,Used,Used
1126,25 - 34,Male,Left school at 18 years,UK,White,26,40,29,46,42,7.85,11.62,Used,Used,Used,Used
1127,25 - 34,Male,Professional certificate/ diploma,USA,White,49,30,43,42,24,18.83,11.83,Used,Used,Used,Used
1128,55 - 64,Male,Left school at 17 years,USA,White,41,37,42,32,46,18.83,11.62,Used,Used,Used,Used
1129,18 - 24,Male,Some college or university,USA,White,49,33,51,45,36,11.46,11.14,Used,Used,Used,Used
1130,18 - 24,Male,Some college or university,USA,White,46,25,41,50,32,10.34,13.21,Used,Used,Used,Used
1131,18 - 24,Male,Some college or university,Other,White,22,31,52,53,28,18.83,13.21,Used,Used,Used, Never Used
1132,18 - 24,Male,Some college or university,Other,White,40,41,45,43,27,7.85,11.19,Used,Used,Used,Used
1133,25 - 34,Female,Professional certificate/ diploma,USA,White,56,45,51,29,28,5.52,5.46,Used,Used,Used,Used
1134,25 - 34,Male,Masters degree,New Zealand,White,42,35,47,35,40,18.83,11.83,Used,Used,Used,Used
1135,35 - 44,Male,Professional certificate/ diploma,Australia,White,24,41,56,50,44,7.85,11.19,Used,Used,Used, Never Used
1136,18 - 24,Male,Masters degree,USA,White,40,48,38,37,38,5.52,13.21,Used,Used,Used,Used
1137,18 - 24,Male,Left school at 18 years,USA,White,49,44,44,34,29,7.85,11.14,Used,Used,Used,Used
1138,25 - 34,Female,Doctorate degree,UK,White,35,42,40,43,45,14.64,8.97,Used,Used, Never Used, Never Used
1139,25 - 34,Female,University degree,Other,White,39,26,46,47,32,18.83,8.97,Used,Used, Never Used, Never Used
1140,25 - 34,Male,Some college or university,USA,White,41,31,49,16,38,5.52,11.14,Used,Used,Used,Used
1141,18 - 24,Female,Some college or university,USA,White,27,43,47,52,40,18.83,11.14,Used,Used,Used,Used
1142,25 - 34,Female,University degree,Australia,White,51,28,51,36,30,11.46,11.14,Used,Used,Used, Never Used
1143,35 - 44,Male,Professional certificate/ diploma,USA,White,40,31,47,42,46,11.46,11.62,Used,Used,Used,Used
1144,18 - 24,Female,Some college or university,USA,White,54,26,54,52,33,18.83,11.14,Used,Used,Used, Never Used
1145,45 - 54,Male,University degree,UK,White,38,32,41,41,37,13.63,8.97,Used,Used,Used,Used
1146,18 - 24,Male,Some college or university,Ireland,White,51,34,41,35,25,18.83,11.62,Used,Used,Used,Used
1147,25 - 34,Male,Masters degree,USA,White,38,35,48,43,34,16.29,7,Used,Used,Used, Never Used
1148,25 - 34,Male,University degree,USA,White,14,37,38,33,48,18.83,11.62,Used,Used,Used,Used
1149,35 - 44,Male,Professional certificate/ diploma,USA,White,53,33,47,33,32,10.34,11.19,Used,Used,Used,Used
1150,18 - 24,Male,Some college or university,USA,White,37,41,47,39,37,11.46,5.46,Used,Used,Used,Used
1151,45 - 54,Female,Left school at 18 years,Australia,White,30,44,44,46,48,16.29,11.19,Used,Used,Used,Used
1152,25 - 34,Male,Some college or university,USA,White,48,37,50,50,45,13.63,13.21,Used,Used,Used,Used
1153,35 - 44,Female,University degree,USA,White,52,27,42,41,32,10.34,8.97,Used,Used,Used,Used
1154,55 - 64,Female,Masters degree,USA,Other,39,35,41,35,40,11.46,5.46,Used,Used, Never Used, Never Used
1155,18 - 24,Male,Left school at 18 years,Other,White,41,34,45,42,27,11.46,11.14,Used,Used,Used, Never Used
1156,18 - 24,Female,Masters degree,UK,White,40,41,48,48,38,13.63,11.19,Used,Used,Used,Used
1157,18 - 24,Male,Doctorate degree,UK,White,27,51,56,53,38,18.83,11.14,Used,Used,Used, Never Used
1158,18 - 24,Female,Some college or university,UK,White,38,39,44,39,45,18.83,11.19,Used,Used,Used,Used
1159,18 - 24,Male,Some college or university,UK,White,42,52,57,46,39,7.85,11.19,Used,Used,Used,Used
1160,45 - 54,Male,Professional certificate/ diploma,Ireland,White,31,40,44,35,48,16.29,13.21,Used,Used,Used,Used
1161,25 - 34,Female,University degree,Canada ,White,42,39,47,43,33,13.63,11.14,Used,Used,Used,Used
1162,18 - 24,Male,Left school at 17 years,USA,Other,44,32,36,37,43,11.46,11.19,Used,Used,Used,Used
1163,18 - 24,Male,Some college or university,USA,White,36,39,56,44,44,11.46,5.46,Used,Used,Used,Used
1164,25 - 34,Female,Doctorate degree,UK,White,34,33,48,49,54,16.29,11.19,Used,Used, Never Used, Never Used
1165,25 - 34,Male,Left school at 17 years,Australia,White,32,42,46,44,45,13.63,11.62,Used,Used,Used,Used
1166,25 - 34,Male,Some college or university,USA,White,44,32,49,39,49,10.34,11.83,Used,Used,Used, Never Used
1167,35 - 44,Male,University degree,USA,White,32,36,52,48,28,5.52,5.46,Used,Used,Used,Used
1168,25 - 34,Male,University degree,USA,White,41,33,53,41,46,18.83,11.62,Used,Used,Used, Never Used
1169,18 - 24,Male,Left school at 18 years,USA,White,44,38,55,38,34,10.34,11.19,Used,Used,Used, Never Used
1170,45 - 54,Male,Professional certificate/ diploma,USA,White,40,39,45,30,34,11.46,13.21,Used,Used,Used,Used
1171,35 - 44,Female,University degree,USA,White,25,48,55,51,44,16.29,11.83,Used,Used,Used,Used
1172,35 - 44,Male,Some college or university,USA,White,37,36,46,38,43,16.29,13.21,Used,Used,Used, Never Used
1173,18 - 24,Male,Some college or university,USA,White,33,41,39,47,48,10.34,13.21,Used,Used,Used,Used
1174,18 - 24,Female,Some college or university,USA,White,40,41,55,47,46,14.64,11.62,Used,Used,Used, Never Used
1175,18 - 24,Male,Some college or university,USA,Other,36,34,52,41,49,18.83,11.19,Used,Used,Used,Used
1176,25 - 34,Male,Masters degree,USA,White,39,34,46,37,49,5.52,5.46,Used,Used,Used, Never Used
1177,18 - 24,Male,Some college or university,USA,Other,23,40,40,48,40,18.83,11.19,Used,Used,Used, Never Used
1178,18 - 24,Male,Some college or university,Other,White,44,39,46,34,35,14.64,11.62,Used,Used,Used,Used
1179,25 - 34,Female,Some college or university,USA,White,31,42,47,53,43,7.85,13.21,Used,Used,Used,Used
1180,25 - 34,Female,Masters degree,USA,White,55,43,57,24,32,5.52,5.46,Used,Used,Used,Used
1181,18 - 24,Male,Some college or university,USA,White,28,38,42,48,40,18.83,7, Never Used,Used,Used, Never Used
1182,18 - 24,Male,Some college or university,USA,White,34,28,48,39,40,16.29,13.21,Used,Used,Used, Never Used
1183,25 - 34,Male,Some college or university,Other,White,52,37,42,40,34,13.63,13.21,Used,Used,Used,Used
1184,25 - 34,Female,Professional certificate/ diploma,Australia,White,40,37,42,56,36,11.46,11.62,Used,Used,Used,Used
1185,18 - 24,Male,University degree,USA,White,31,47,52,41,53,16.29,11.83,Used,Used,Used, Never Used
1186,45 - 54,Male,Left school at 16 years,USA,White,34,31,45,49,44,18.83,11.19,Used,Used,Used,Used
1187,18 - 24,Male,Some college or university,USA,White,44,38,50,37,35,10.34,11.19,Used,Used,Used, Never Used
1188,18 - 24,Male,Some college or university,Other,White,26,44,48,47,36,5.52,13.21,Used,Used,Used, Never Used
1189,25 - 34,Female,University degree,UK,White,48,38,52,46,42,13.63,11.62,Used,Used,Used, Never Used
1190,55 - 64,Female,Doctorate degree,USA,White,32,43,49,40,42,18.83,11.62,Used,Used,Used,Used
1191,18 - 24,Male,Some college or university,Canada ,White,25,49,49,39,42,7.85,13.21,Used,Used,Used,Used
1192,18 - 24,Male,Masters degree,USA,White,18,42,51,54,48,16.29,11.19,Used,Used,Used,Used
1193,18 - 24,Female,Some college or university,USA,White,42,44,49,44,22,5.52,11.14,Used,Used, Never Used, Never Used
1194,18 - 24,Male,Left school at 18 years,Canada ,White,51,29,49,46,33,5.52,11.14,Used,Used,Used,Used
1195,18 - 24,Male,Some college or university,USA,White,14,47,53,53,38,13.63,13.21,Used,Used,Used, Never Used
1196,35 - 44,Male,University degree,USA,White,39,41,51,36,45,11.46,11.14,Used,Used, Never Used, Never Used
1197,18 - 24,Male,Some college or university,USA,White,45,37,46,40,29,10.34,13.21,Used,Used,Used, Never Used
1198,18 - 24,Male,Some college or university,USA,White,41,38,42,38,38,18.83,11.19,Used,Used,Used,Used
1199,25 - 34,Male,University degree,Canada ,White,27,38,45,30,40,11.46,4.62, Never Used,Used, Never Used, Never Used
1200,25 - 34,Male,Left school at 16 years,USA,White,32,21,41,43,44,14.64,8.97,Used,Used,Used,Used
1201,18 - 24,Male,Some college or university,USA,White,55,19,37,45,27,11.46,11.14,Used,Used,Used, Never Used
1202,25 - 34,Female,University degree,Other,White,37,28,49,49,29,18.83,8.97,Used,Used, Never Used, Never Used
1203,18 - 24,Male,Some college or university,USA,White,39,46,57,38,37,7.85,5.46,Used,Used,Used,Used
1204,18 - 24,Male,Some college or university,USA,White,29,45,48,36,36,18.83,11.19,Used,Used,Used, Never Used
1205,18 - 24,Male,Left school at 18 years,USA,Mixed-White/Asian,40,43,44,34,40,11.46,11.14,Used,Used,Used,Used
1206,25 - 34,Male,Some college or university,USA,White,44,30,49,36,33,13.63,11.19,Used,Used,Used,Used
1207,18 - 24,Female,Left school at 18 years,UK,White,26,36,46,29,31,7.85,13.21,Used,Used,Used, Never Used
1208,45 - 54,Male,University degree,UK,White,31,50,55,52,50,18.83,11.83,Used,Used, Never Used, Never Used
1209,18 - 24,Male,Professional certificate/ diploma,USA,Other,37,40,51,28,51,10.34,5.46,Used,Used,Used,Used
1210,18 - 24,Male,Some college or university,Canada ,Mixed-White/Black,22,33,50,36,39,11.46,13.21,Used,Used,Used, Never Used
1211,45 - 54,Male,University degree,Australia,White,26,44,43,36,47,10.34,11.19,Used,Used,Used,Used
1212,18 - 24,Male,Some college or university,Canada ,White,23,47,50,39,36,10.34,13.21,Used,Used,Used, Never Used
1213,18 - 24,Male,Some college or university,Other,White,33,32,48,40,34,14.64,11.19,Used,Used,Used, Never Used
1214,18 - 24,Female,Some college or university,Canada ,White,45,41,50,42,26,14.64,13.21,Used,Used,Used,Used
1215,18 - 24,Male,Some college or university,Australia,White,33,41,50,40,42,13.63,11.19,Used,Used,Used, Never Used
1216,35 - 44,Female,Professional certificate/ diploma,UK,White,43,43,36,37,43,7.85,11.19,Used,Used,Used, Never Used
1217,25 - 34,Male,Professional certificate/ diploma,USA,White,48,36,52,43,35,10.34,11.19,Used,Used,Used,Used
1218,18 - 24,Male,Professional certificate/ diploma,Canada ,White,34,49,55,44,31,11.46,11.19,Used,Used,Used, Never Used
1219,18 - 24,Male,Some college or university,USA,White,40,44,44,37,42,13.63,11.19,Used,Used,Used,Used
1220,25 - 34,Female,Masters degree,USA,White,39,48,45,38,34,13.63,11.19,Used,Used,Used,Used
1221,18 - 24,Female,Some college or university,Other,White,24,41,51,35,30,16.29,11.19,Used,Used,Used, Never Used
1222,18 - 24,Female,Professional certificate/ diploma,USA,White,46,46,48,32,35,10.34,13.21,Used,Used,Used,Used
1223,18 - 24,Female,Left school at 18 years,USA,White,46,38,47,33,37,10.34,11.14,Used,Used,Used,Used
1224,18 - 24,Male,Some college or university,USA,White,33,44,48,40,42,7.85,11.14,Used,Used,Used,Used
1225,25 - 34,Male,Doctorate degree,USA,White,31,22,30,42,41,18.83,7,Used,Used, Never Used, Never Used
1226,18 - 24,Female,Some college or university,USA,White,45,38,46,43,39,18.83,11.83,Used,Used,Used, Never Used
1227,18 - 24,Male,University degree,USA,White,42,49,50,44,48,13.63,5.46,Used,Used,Used,Used
1228,25 - 34,Female,University degree,USA,White,41,44,54,42,31,11.46,11.83,Used,Used,Used,Used
1229,35 - 44,Male,Left school at 16 years,USA,White,47,36,47,47,30,14.64,11.83,Used,Used,Used,Used
1230,18 - 24,Male,Some college or university,USA,Mixed-White/Black,26,52,54,44,46,11.46,13.21,Used,Used,Used, Never Used
1231,18 - 24,Female,Left school at 18 years,USA,White,37,41,53,40,41,13.63,11.62,Used,Used,Used,Used
1232,18 - 24,Female,University degree,Other,Other,46,31,53,29,38,7.85,11.14,Used,Used,Used,Used
1233,18 - 24,Female,Some college or university,Other,White,51,37,49,47,45,13.63,11.62,Used,Used, Never Used, Never Used
1234,18 - 24,Male,University degree,UK,White,43,37,50,47,41,13.63,13.21,Used,Used,Used,Used
1235,18 - 24,Male,Some college or university,USA,White,36,32,46,45,46,14.64,4.62,Used,Used,Used,Used
1236,55 - 64,Male,Masters degree,USA,White,37,44,50,41,46,18.83,8.97,Used,Used,Used,Used
1237,45 - 54,Female,Masters degree,UK,White,21,45,54,47,42,18.83,4.62,Used,Used,Used, Never Used
1238,18 - 24,Male,University degree,USA,White,36,45,52,40,50,13.63,11.19,Used,Used,Used, Never Used
1239,25 - 34,Male,Left school at 18 years,USA,White,39,42,52,50,36,11.46,11.62,Used,Used,Used,Used
1240,18 - 24,Female,University degree,UK,White,35,41,49,34,45,11.46,11.19,Used,Used, Never Used, Never Used
1241,45 - 54,Female,Some college or university,UK,White,40,40,48,47,42,11.46,11.19,Used,Used,Used, Never Used
1242,35 - 44,Female,University degree,UK,White,46,30,43,42,35,18.83,11.19,Used,Used, Never Used, Never Used
1243,25 - 34,Female,University degree,UK,White,24,45,37,36,41,18.83,13.21,Used,Used,Used,Used
1244,45 - 54,Female,University degree,UK,White,27,26,36,52,48,14.64,11.19,Used,Used,Used, Never Used
1245,25 - 34,Female,University degree,UK,White,41,40,39,44,31,16.29,11.19,Used,Used,Used, Never Used
1246,45 - 54,Female,University degree,UK,White,24,51,46,44,54,14.64,8.97,Used,Used,Used, Never Used
1247,45 - 54,Female,Professional certificate/ diploma,UK,White,24,38,30,53,32,14.64,4.62,Used,Used,Used, Never Used
1248,55 - 64,Male,University degree,UK,White,37,36,40,40,32,11.46,11.62,Used,Used,Used, Never Used
1249,45 - 54,Female,Professional certificate/ diploma,UK,White,30,38,44,51,46,14.64,11.83,Used,Used, Never Used, Never Used
1250,45 - 54,Female,Masters degree,UK,White,31,39,55,43,48,5.52,11.19,Used,Used,Used, Never Used
1251,35 - 44,Female,Masters degree,UK,White,27,39,49,40,49,16.29,11.19,Used,Used, Never Used, Never Used
1252,45 - 54,Female,Doctorate degree,UK,Mixed-White/Asian,43,39,54,40,47,11.46,11.19,Used,Used,Used, Never Used
1253,35 - 44,Female,Left school at 17 years,UK,White,39,28,32,36,31,14.64,3.77,Used,Used, Never Used, Never Used
1254,35 - 44,Female,University degree,UK,White,32,31,32,45,40,14.64,7,Used,Used,Used, Never Used
1255,25 - 34,Female,University degree,UK,Other,36,34,44,40,37,18.83,11.83,Used,Used, Never Used, Never Used
1256,45 - 54,Female,University degree,UK,White,49,35,48,52,43,14.64,11.19,Used,Used, Never Used, Never Used
1257,35 - 44,Female,University degree,UK,White,26,36,46,34,46,10.34,13.21,Used,Used, Never Used, Never Used
1258,25 - 34,Female,Masters degree,UK,White,50,31,41,37,42,16.29,11.19,Used,Used, Never Used, Never Used
1259,25 - 34,Female,Doctorate degree,UK,White,27,45,42,39,42,14.64,8.97,Used,Used, Never Used, Never Used
1260,45 - 54,Female,Masters degree,UK,White,32,34,43,35,41,5.52,13.21,Used,Used, Never Used, Never Used
1261,45 - 54,Female,University degree,UK,White,29,42,44,45,36,13.63,13.21,Used,Used,Used,Used
1262,25 - 34,Female,Some college or university,UK,White,50,36,53,50,36,5.52,11.62,Used,Used, Never Used, Never Used
1263,25 - 34,Female,Professional certificate/ diploma,UK,White,39,46,39,44,46,11.46,11.19,Used,Used,Used,Used
1264,45 - 54,Female,University degree,UK,White,36,39,41,45,46,16.29,11.83,Used,Used,Used, Never Used
1265,25 - 34,Female,Professional certificate/ diploma,UK,White,32,34,38,47,42,11.46,13.21,Used,Used, Never Used, Never Used
1266,35 - 44,Female,Left school at 16 years,UK,White,28,40,38,41,44,13.63,11.83,Used,Used, Never Used, Never Used
1267,25 - 34,Female,Masters degree,UK,White,53,33,44,31,26,7.85,5.46,Used,Used,Used,Used
1268,35 - 44,Female,Professional certificate/ diploma,UK,White,37,32,43,47,44,14.64,3.77,Used,Used, Never Used, Never Used
1269,35 - 44,Female,University degree,UK,White,40,40,38,32,42,13.63,13.21,Used,Used, Never Used,Used
1270,25 - 34,Female,Masters degree,UK,White,35,37,43,54,44,14.64,11.19,Used,Used,Used, Never Used
1271,25 - 34,Female,Professional certificate/ diploma,UK,White,24,39,38,49,43,16.29,11.19,Used,Used,Used,Used
1272,55 - 64,Female,University degree,UK,White,34,39,47,48,38,10.34,7,Used,Used, Never Used, Never Used
1273,35 - 44,Female,Some college or university,Other,White,52,33,33,48,34,13.63,3.77,Used,Used, Never Used, Never Used
1274,35 - 44,Male,Doctorate degree,Other,White,52,39,52,36,39,18.83,11.83,Used,Used, Never Used, Never Used
1275,35 - 44,Female,Masters degree,UK,White,26,41,49,41,46,18.83,11.83,Used,Used,Used,Used
1276,45 - 54,Female,Professional certificate/ diploma,UK,White,21,35,34,44,53,16.29,11.62,Used,Used,Used,Used
1277,18 - 24,Male,Some college or university,USA,White,31,47,50,39,33,11.46,11.14,Used,Used,Used, Never Used
